name,price,type,interface,capacity,price_per_gb,color
Axiom Mobile-D,,Portable,USB Type-A 3.2 Gen 1,250,,
Axiom Mobile-D,,Portable,USB Type-A 3.2 Gen 1,1000,,
Apricorn Aegis Padlock,,Portable,"eSATA 3.0 Gb/s, USB Type-A 2.0",1000,,
Apricorn Aegis Padlock,,Portable,,500,,
Apricorn Aegis Padlock,,Portable,USB Type-A 2.0,320,,
Apricorn Aegis Padlock,,Portable,USB Type-A 2.0,1000,,
Apricorn Aegis Padlock,,Portable,USB Type-A 2.0,1000,,
Apricorn Aegis Portable 3.0,,Portable,USB Type-A 3.2 Gen 1,500,,
Apricorn Aegis Portable 3.0,,Portable,USB Type-A 3.2 Gen 1,1000,,
Apricorn Aegis Padlock,493,Portable,USB Type-A 3.2 Gen 1,128,3.852,
Apricorn Aegis Padlock Fortress,168.45,Portable,USB Type-A 3.2 Gen 1,500,0.337,
Apricorn Aegis Padlock 3.0,153.88,Portable,USB Type-A 3.2 Gen 1,500,0.308,Black
Apricorn Aegis Padlock Fortress,,Portable,USB Type-A 3.2 Gen 1,500,,
Apricorn Aegis Padlock Fortress,222.84,Portable,USB Type-A 3.2 Gen 1,1000,0.223,
Apricorn Aegis Padlock,,Portable,USB Type-A 3.2 Gen 1,500,,
Apricorn Aegis Padlock,,Portable,USB Type-A 3.2 Gen 1,1000,,
Apricorn Aegis Bio 3.0,,Portable,USB Type-A 3.2 Gen 1,512,,
Apricorn Aegis Bio,,Portable,USB Type-A 3.2 Gen 1,1000,,
ADATA SH14,,Portable,USB Type-A 3.2 Gen 1,1000,,
ADATA DashDrive SE720,,Portable,USB Type-A 3.2 Gen 1,128,,
ADATA AHV620-500GU3-CBK,,Portable,USB Type-A 3.2 Gen 1,500,,
ADATA DashDrive Durable HD650,71.88,Portable,USB Type-A 3.2 Gen 1,1000,0.072,
HP HPHDD2E30500AS1-RBU,,Portable,USB Type-A 3.2 Gen 1,500,,
Hitachi HGST Touro Mobile Pro,,Portable,USB Type-A 3.2 Gen 1,1000,,
Hitachi HGST Touro Mobile,,Portable,USB Type-A 3.2 Gen 1,1000,,
Hitachi HGST Touro Mobile,,Portable,USB Type-A 3.2 Gen 1,500,,
Hitachi GST Touro Mobile Pro,,Portable,USB Type-A 3.2 Gen 1,500,,
Seagate Backup Plus Slim,,Portable,USB Type-A 3.2 Gen 1,2000,,
Seagate Backup Plus,112,Portable,USB Type-A 3.2 Gen 1,1000,0.112,
Seagate Backup Plus Slim,,Portable,USB Type-A 3.2 Gen 1,2000,,
Seagate Backup Plus,,Portable,USB Type-A 3.2 Gen 1,1000,,
Seagate GoFlex for Mac,,Portable,Thunderbolt,1000,,
Samsung MU-PS500B/AM,,Portable,USB Type-A 3.2 Gen 1,500,,
Samsung MU-PS250B/AM,,Portable,USB Type-A 3.2 Gen 1,250,,
Samsung P3 Portable,,Portable,USB Type-A 3.2 Gen 1,2000,,
Samsung P3,,Portable,USB Type-A 3.2 Gen 1,1000,,
Samsung P3,,Portable,USB Type-A 3.2 Gen 1,500,,
Verbatim 97806,,Portable,USB Type-A 3.2 Gen 1,1000,,
Verbatim 97805,,Portable,USB Type-A 3.2 Gen 1,500,,
Verbatim Freecom,,Portable,USB Type-A 3.2 Gen 1,1000,,
Verbatim Freecom,,Portable,USB Type-A 3.2 Gen 1,1000,,
Verbatim Titan XS,,Portable,,1000,,
Verbatim Store 'n' Go,,Portable,USB Type-A 3.2 Gen 1,256,,
Verbatim Store 'n' Go,,Portable,USB Type-A 3.2 Gen 1,128,,
LaCie Porsche Design,,Portable,,250,,
LaCie Porsche Design,,Portable,USB Type-A 3.2 Gen 1,120,,
LaCie Little Big Disk,,Portable,Thunderbolt,512,,
LaCie Rugged,,Portable,"Thunderbolt, USB Type-A 3.2 Gen 1",1000,,
LaCie Rugged,,Portable,"Thunderbolt, USB Type-A 3.2 Gen 1",120,,
LaCie Rugged Mini,,Portable,USB Type-A 3.2 Gen 1,1500,,
Western Digital My Passport Air,,Portable,USB Type-A 3.2 Gen 1,1000,,
Western Digital ELEMENTS,,Portable,USB Type-A 3.2 Gen 1,1500,,
Western Digital My Passport Studio,,Portable,"IEEE 1394B 9-Pin, USB Type-A 2.0",2000,,
Western Digital My Passport Slim,,Portable,USB Type-A 3.2 Gen 1,1000,,
Western Digital My Passport Studio,,Portable,"IEEE 1394B 9-Pin, USB Type-A 2.0",1000,,
Western Digital My Passport Air,,Portable,USB Type-A 3.2 Gen 1,500,,
LaCie Porsche Design,,Portable,USB Type-A 3.2 Gen 1,1000,,
LaCie Porsche Design,,Portable,USB Type-A 3.2 Gen 1,500,,
LaCie Rugged,,Portable,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",1000,,
LaCie Rugged,,Portable,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",500,,
LaCie Rugged,,Portable,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",500,,
LaCie Rikiki,,Portable,USB Type-A 3.2 Gen 1,500,,
LaCie Rugged Mini,79.99,Portable,USB Type-A 3.2 Gen 1,1000,0.08,
LaCie Rugged Mini,,Portable,USB Type-A 3.2 Gen 1,500,,
LaCie Rugged Mini,,Portable,USB Type-A 3.2 Gen 1,500,,
Buffalo Technology MiniStation Extreme,,Portable,USB Type-A 3.2 Gen 1,500,,
Buffalo Technology MiniStation Extreme,,Portable,USB Type-A 3.2 Gen 1,500,,
Buffalo Technology MiniStation Extreme,,Portable,USB Type-A 3.2 Gen 1,500,,
Buffalo Technology MiniStation Extreme,,Portable,USB Type-A 3.2 Gen 1,1000,,
Buffalo Technology MiniStation Extreme,,Portable,USB Type-A 3.2 Gen 1,1000,,
Buffalo Technology MiniStation Extreme,,Portable,USB Type-A 3.2 Gen 1,1000,,
Buffalo Technology MiniStation,,Portable,USB Type-A 3.2 Gen 1,500,,
Buffalo Technology MiniStation,,Portable,USB Type-A 3.2 Gen 1,1000,,
ADATA DashDrive,,Portable,USB Type-A 3.2 Gen 1,1000,,
